schema_path,max_length,hidden_size,epoch,batch_size,epoch_data_size,positive_sample_rate,optimizer,learning_rate,loss_type,bert,vocab_size,model_type,acc
../data/schema.json,45,256,20,16,400,0.5,adam,0.001,triple_loss,FALSE,4622,layer,0.952586207
../data/schema.json,45,512,20,8,400,0.5,adam,0.001,triple_loss,FALSE,4622,layer,0.948275862
../data/schema.json,45,256,20,2,400,0.5,adam,0.001,triple_loss,FALSE,4622,layer,0.941810345
../data/schema.json,45,512,20,16,400,0.5,adam,0.001,triple_loss,FALSE,4622,layer,0.941810345
../data/schema.json,45,256,20,8,400,0.5,adam,0.001,triple_loss,FALSE,4622,layer,0.941810345
../data/schema.json,45,512,20,2,400,0.5,adam,0.001,triple_loss,FALSE,4622,layer,0.941810345
../data/schema.json,45,512,20,64,400,0.5,adam,0.001,triple_loss,FALSE,4622,layer,0.941810345
../data/schema.json,45,256,20,2,400,0.5,adam,0.001,triple_loss,FALSE,4622,layer,0.939655172
../data/schema.json,45,512,20,8,400,0.5,adam,0.001,triple_loss,FALSE,4622,layer,0.939655172
../data/schema.json,45,512,20,2,400,0.5,adam,0.0001,triple_loss,FALSE,4622,layer,0.9375
../data/schema.json,45,512,20,4,400,0.5,adam,0.001,triple_loss,FALSE,4622,layer,0.935344828
../data/schema.json,45,256,20,4,400,0.5,adam,0.001,triple_loss,FALSE,4622,layer,0.935344828
../data/schema.json,45,512,20,4,400,0.5,adam,0.001,triple_loss,FALSE,4622,layer,0.935344828
../data/schema.json,45,512,20,4,400,0.5,adam,0.0001,triple_loss,FALSE,4622,layer,0.935344828
../data/schema.json,45,128,20,32,400,0.5,adam,0.001,triple_loss,FALSE,4622,layer,0.933189655
../data/schema.json,45,256,20,8,400,0.5,adam,0.001,triple_loss,FALSE,4622,layer,0.931034483
../data/schema.json,45,256,20,64,400,0.5,adam,0.001,triple_loss,FALSE,4622,layer,0.931034483
../data/schema.json,45,512,20,4,400,0.5,adam,0.0001,triple_loss,FALSE,4622,layer,0.931034483
../data/schema.json,45,512,20,8,400,0.5,adam,0.0001,triple_loss,FALSE,4622,layer,0.931034483
../data/schema.json,45,128,20,2,400,0.5,adam,0.001,triple_loss,FALSE,4622,layer,0.931034483
../data/schema.json,45,256,20,32,400,0.5,adam,0.001,triple_loss,FALSE,4622,layer,0.92887931
../data/schema.json,45,256,20,2,400,0.5,adam,0.0001,triple_loss,FALSE,4622,layer,0.92887931
../data/schema.json,45,256,20,32,400,0.5,adam,0.001,triple_loss,FALSE,4622,layer,0.92887931
../data/schema.json,45,256,20,64,400,0.5,adam,0.001,triple_loss,FALSE,4622,layer,0.92887931
../data/schema.json,45,512,20,32,400,0.5,adam,0.001,triple_loss,FALSE,4622,layer,0.92887931
../data/schema.json,45,128,20,2,400,0.5,adam,0.001,triple_loss,FALSE,4622,layer,0.926724138
../data/schema.json,45,128,20,128,400,0.5,adam,0.001,triple_loss,FALSE,4622,layer,0.926724138
../data/schema.json,45,256,20,4,400,0.5,adam,0.001,triple_loss,FALSE,4622,layer,0.926724138
../data/schema.json,45,512,20,64,400,0.5,adam,0.001,triple_loss,FALSE,4622,layer,0.926724138
