model,lr,hidden_size,batch_size,pooling_style,num_layers,acc,time
fast_text,0.001,64,64,avg,1,0.8890742285237698,16.30469372397975
fast_text,0.001,64,64,avg,2,0.8886572143452878,13.168861991480776
fast_text,0.001,64,64,avg,3,0.8882402001668057,19.064702485737048
fast_text,0.001,64,64,avg,4,0.8869891576313594,23.799820950156764
fast_text,0.001,64,64,max,1,0.8557130942452044,14.576159025493421
fast_text,0.001,64,64,max,2,0.8569641367806505,13.2541907461066
fast_text,0.001,64,64,max,3,0.8673894912427023,4.15726711875514
fast_text,0.001,64,64,max,4,0.8640533778148457,18.47681246305767
fast_text,0.001,64,128,avg,1,0.8836530442035029,31.759864405581826
fast_text,0.001,64,128,avg,2,0.8773978315262719,10.571981731214022
fast_text,0.001,64,128,avg,3,0.8794829024186822,5.312969810084293
fast_text,0.001,64,128,avg,4,0.8874061718098415,24.436649523283307
fast_text,0.001,64,128,max,1,0.8427856547122602,15.839777494731702
fast_text,0.001,64,128,max,2,0.8398665554628857,18.46489153410259
fast_text,0.001,64,128,max,3,0.8336113427856547,26.3239208020662
fast_text,0.001,64,128,max,4,0.8507089241034195,15.704255355031867
fast_text,0.001,128,64,avg,1,0.8899082568807339,22.437697962710732
fast_text,0.001,128,64,avg,2,0.8924103419516264,15.823464644582648
fast_text,0.001,128,64,avg,3,0.8886572143452878,12.168758793881064
fast_text,0.001,128,64,avg,4,0.890325271059216,19.784977561549137
fast_text,0.001,128,64,max,1,0.8786488740617181,10.552531794497842
fast_text,0.001,128,64,max,2,0.8678065054211843,13.147529802824321
fast_text,0.001,128,64,max,3,0.878231859883236,9.464590173018607
fast_text,0.001,128,64,max,4,0.8824020016680567,10.54876729061729
fast_text,0.001,128,128,avg,1,0.8878231859883235,21.066163715563324
fast_text,0.001,128,128,avg,2,0.8890742285237698,21.150237635562295
fast_text,0.001,128,128,avg,3,0.8899082568807339,22.176692360325863
fast_text,0.001,128,128,avg,4,0.8886572143452878,5.26277642501028
fast_text,0.001,128,128,max,1,0.8644703919933278,10.549394707930716
fast_text,0.001,128,128,max,2,0.8619683069224353,0.5345595510382402
fast_text,0.001,128,128,max,3,0.859466221851543,35.24203049509149
fast_text,0.001,128,128,max,4,0.8619683069224353,24.818119249845807
fast_text,0.0001,64,64,avg,1,0.7539616346955796,7.8345599927400285
fast_text,0.0001,64,64,avg,2,0.7789824854045038,7.833305158113179
