model_type,epoch,opt,lr,hidden_size,batch_size,pooling_style,time_value,acc,call_back,loss,precision
bert,5,adam,0.001,512,128,avg,131,0.6695869837296621,0.0,0.6486116560300191,0.0
bert,5,adam,0.001,512,128,max,132,0.6695869837296621,0.0,0.6421767210960388,0.0
bert,5,adam,0.001,512,128,last,133,0.6695869837296621,0.0,0.6397968665758769,0.0
bert,5,sgd,0.1,128,128,avg,124,0.6695869837296621,0.0,0.6392169364293416,0.0
bert,5,sgd,0.1,128,128,max,125,0.6695869837296621,0.0,0.6437602686882019,0.0
bert,5,sgd,0.1,128,128,last,123,0.6695869837296621,0.0,0.6395661870638529,0.0
bert,5,sgd,0.1,512,128,avg,127,0.6695869837296621,0.0,0.645352749824524,0.0
bert,5,sgd,0.1,512,128,max,127,0.6695869837296621,0.0,0.6535499048233032,0.0
bert,5,sgd,0.1,512,128,last,125,0.6695869837296621,0.0,0.641447749932607,0.0
bert,5,sgd,0.001,128,128,avg,126,0.8856904463913224,0.7714646464646465,0.31603039304415387,0.8678977272727273
bert,5,sgd,0.001,128,128,max,126,0.8894451397580309,0.773989898989899,0.3144549340009689,0.876967095851216
bert,5,sgd,0.001,128,128,last,125,0.8856904463913224,0.7765151515151515,0.32045344948768617,0.8637640449438202
bert,5,sgd,0.001,512,128,avg,126,0.8927826449728827,0.7815656565656566,0.31014992197354635,0.8805120910384068
bert,5,sgd,0.001,512,128,max,125,0.8890279516061744,0.7929292929292929,0.31020081400871274,0.8602739726027397
bert,5,sgd,0.001,512,128,last,125,0.8877763871506049,0.7878787878787878,0.31859492480754853,0.8606896551724138
bert,15,adam,0.1,128,128,avg,389,0.6695869837296621,0.0,0.6539768568674723,0.0
bert,15,adam,0.1,128,128,max,386,0.6695869837296621,0.0,0.642483290831248,0.0
bert,15,adam,0.1,128,128,last,386,0.6695869837296621,0.0,0.664583261013031,0.0
bert,15,adam,0.1,512,128,avg,385,0.6695869837296621,0.0,0.642688984076182,0.0
bert,15,adam,0.1,512,128,max,386,0.3304130162703379,1.0,0.6447567852338155,0.3304130162703379
bert,15,adam,0.1,512,128,last,385,0.6695869837296621,0.0,0.6672633012135823,0.0
bert,15,adam,0.001,128,128,avg,386,0.6695869837296621,0.0,0.6385586762428284,0.0
bert,15,adam,0.001,128,128,max,387,0.6695869837296621,0.0,0.641747796535492,0.0
bert,15,adam,0.001,128,128,last,387,0.6695869837296621,0.0,0.6387195984522501,0.0
bert,15,adam,0.001,512,128,avg,387,0.6695869837296621,0.0,0.6384114869435629,0.0
bert,15,adam,0.001,512,128,max,388,0.6695869837296621,0.0,0.6395929439862569,0.0
bert,15,adam,0.001,512,128,last,387,0.6695869837296621,0.0,0.6398935508728028,0.0
bert,15,sgd,0.1,128,128,avg,376,0.6695869837296621,0.0,0.6411911702156067,0.0
bert,15,sgd,0.1,128,128,max,382,0.6695869837296621,0.0,0.6386502456665039,0.0
bert,15,sgd,0.1,128,128,last,376,0.6695869837296621,0.0,0.6386884156862894,0.0
bert,15,sgd,0.1,512,128,avg,374,0.6695869837296621,0.0,0.6383639653523763,0.0
bert,15,sgd,0.1,512,128,max,377,0.6695869837296621,0.0,0.6395877520243327,0.0
bert,15,sgd,0.1,512,128,last,368,0.6695869837296621,0.0,0.6391357088088989,0.0
bert,15,sgd,0.001,128,128,avg,369,0.8977889027951607,0.8143939393939394,0.264578294356664,0.8681022880215343
bert,15,sgd,0.001,128,128,max,374,0.900709219858156,0.8042929292929293,0.2608720938364665,0.8847222222222222
bert,15,sgd,0.001,128,128,last,378,0.9052982895285774,0.8383838383838383,0.25758888562520343,0.8702490170380078
bert,15,sgd,0.001,512,128,avg,374,0.9040467250730079,0.8434343434343434,0.25629187961419425,0.8630490956072352
bert,15,sgd,0.001,512,128,max,375,0.9002920317062996,0.8169191919191919,0.2586954818169276,0.873144399460189
bert,15,sgd,0.001,512,128,last,372,0.9061326658322904,0.8106060606060606,0.25253578801949816,0.895397489539749
bert_cnn,5,adam,0.1,128,128,avg,131,0.6695869837296621,0.0,0.7191003282864888,0.0
bert_cnn,5,adam,0.1,128,128,max,132,0.6695869837296621,0.0,0.6528473440806071,0.0
bert_cnn,5,adam,0.1,128,128,last,133,0.6695869837296621,0.0,0.6461276857058207,0.0
bert_cnn,5,adam,0.1,512,128,avg,133,0.6695869837296621,0.0,0.6403854672114054,0.0
bert_cnn,5,adam,0.1,512,128,max,133,0.6695869837296621,0.0,0.6425285108884176,0.0
bert_cnn,5,adam,0.1,512,128,last,132,0.6695869837296621,0.0,0.6421562314033509,0.0
bert_cnn,5,adam,0.001,128,128,avg,135,0.6695869837296621,0.0,0.638936398824056,0.0
bert_cnn,5,adam,0.001,128,128,max,135,0.6695869837296621,0.0,0.6396433154741923,0.0
bert_cnn,5,adam,0.001,128,128,last,132,0.6695869837296621,0.0,0.6384629027048747,0.0
bert_cnn,5,adam,0.001,512,128,avg,133,0.6695869837296621,0.0,0.6402716684341431,0.0
bert_cnn,5,adam,0.001,512,128,max,133,0.6695869837296621,0.0,0.6410885842641195,0.0
bert_cnn,5,adam,0.001,512,128,last,133,0.6695869837296621,0.0,0.6395176768302917,0.0
bert_cnn,5,sgd,0.1,128,128,avg,118,0.6695869837296621,0.0,nan,0.0
bert_cnn,5,sgd,0.1,128,128,max,116,0.6695869837296621,0.0,nan,0.0
bert_cnn,5,sgd,0.1,128,128,last,116,0.6695869837296621,0.0,nan,0.0
bert_cnn,5,sgd,0.1,512,128,avg,115,0.6695869837296621,0.0,nan,0.0
bert_cnn,5,sgd,0.1,512,128,max,116,0.6695869837296621,0.0,nan,0.0
bert_cnn,5,sgd,0.1,512,128,last,116,0.6695869837296621,0.0,nan,0.0
bert_cnn,5,sgd,0.001,128,128,avg,124,0.885273258239466,0.7575757575757576,0.3291089244683584,0.8784773060029283
bert_cnn,5,sgd,0.001,128,128,max,125,0.8840216937838965,0.7916666666666666,0.3264850705862045,0.8472972972972973
bert_cnn,5,sgd,0.001,128,128,last,125,0.8831873174801835,0.7664141414141414,0.3331364729007085,0.8646723646723646
bert_cnn,5,sgd,0.001,512,128,avg,125,0.8865248226950354,0.7765151515151515,0.32485979358355205,0.8661971830985915
bert_cnn,5,sgd,0.001,512,128,max,126,0.885273258239466,0.8005050505050505,0.3324538846810659,0.844207723035952
bert_cnn,5,sgd,0.001,512,128,last,125,0.8831873174801835,0.7689393939393939,0.3443039286136627,0.8626062322946175
bert_cnn,15,adam,0.1,128,128,avg,389,0.6695869837296621,0.0,0.6381577626864116,0.0
bert_cnn,15,adam,0.1,128,128,max,388,0.6695869837296621,0.0,0.6478637512524923,0.0
bert_cnn,15,adam,0.1,128,128,last,387,0.6695869837296621,0.0,0.6428763659795126,0.0
bert_cnn,15,adam,0.1,512,128,avg,387,0.6695869837296621,0.0,0.678642205397288,0.0
bert_cnn,15,adam,0.1,512,128,max,388,0.6695869837296621,0.0,0.657034547328949,0.0
bert_cnn,15,adam,0.1,512,128,last,387,0.6695869837296621,0.0,0.6443626999855041,0.0
bert_cnn,15,adam,0.001,128,128,avg,388,0.6695869837296621,0.0,0.6390694769223532,0.0
bert_cnn,15,adam,0.001,128,128,max,390,0.6695869837296621,0.0,0.6392157220840454,0.0
bert_cnn,15,adam,0.001,128,128,last,389,0.6695869837296621,0.0,0.6404494420687358,0.0
bert_cnn,15,adam,0.001,512,128,avg,390,0.6695869837296621,0.0,0.6391248067220052,0.0
bert_cnn,15,adam,0.001,512,128,max,391,0.6695869837296621,0.0,0.6402928884824117,0.0
bert_cnn,15,adam,0.001,512,128,last,389,0.6695869837296621,0.0,0.6401928496360779,0.0
bert_cnn,15,sgd,0.1,128,128,avg,343,0.6695869837296621,0.0,nan,0.0
bert_cnn,15,sgd,0.1,128,128,max,366,0.7989153108051731,0.5833333333333334,0.53490558385849,0.752442996742671
bert_cnn,15,sgd,0.1,128,128,last,342,0.6695869837296621,0.0,nan,0.0
bert_cnn,15,sgd,0.1,512,128,avg,339,0.6695869837296621,0.0,nan,0.0
bert_cnn,15,sgd,0.1,512,128,max,340,0.6695869837296621,0.0,nan,0.0
bert_cnn,15,sgd,0.1,512,128,last,339,0.6695869837296621,0.0,nan,0.0
bert_cnn,15,sgd,0.001,128,128,avg,366,0.9011264080100125,0.8497474747474747,0.25492819090684254,0.8508217446270544
bert_cnn,15,sgd,0.001,128,128,max,369,0.9027951606174385,0.7904040404040404,0.25825811803340915,0.9033189033189033
bert_cnn,15,sgd,0.001,128,128,last,369,0.8994576554025866,0.8106060606060606,0.2658476740121841,0.8758526603001364
bert_cnn,15,sgd,0.001,512,128,avg,370,0.901543596161869,0.821969696969697,0.26273996313412984,0.8726541554959786
bert_cnn,15,sgd,0.001,512,128,max,370,0.901543596161869,0.8345959595959596,0.2605269640684128,0.8629242819843342
bert_cnn,15,sgd,0.001,512,128,last,369,0.8990404672507301,0.8320707070707071,0.2688624938329061,0.8580729166666666
rnn,5,adam,0.1,128,128,avg,4,0.7943262411347518,0.5896464646464646,0.4758091946442922,0.7354330708661417
rnn,5,adam,0.1,128,128,max,3,0.6695869837296621,0.0,0.6898947183291118,0.0
rnn,5,adam,0.1,128,128,last,3,0.590738423028786,0.43686868686868685,0.7395860099792481,0.3927355278093076
rnn,5,adam,0.1,512,128,avg,6,0.8035043804755945,0.5795454545454546,0.4887066348393758,0.7688442211055276
rnn,5,adam,0.1,512,128,max,6,0.6695869837296621,0.0025252525252525255,5.7011759503682455,0.5
rnn,5,adam,0.1,512,128,last,6,0.5556946182728411,0.4494949494949495,1.1215170542399089,0.3614213197969543
rnn,5,adam,0.001,128,128,avg,3,0.8856904463913224,0.797979797979798,0.31640964925289156,0.8471849865951743
rnn,5,adam,0.001,128,128,max,3,0.8877763871506049,0.8017676767676768,0.28490164240201316,0.8500669344042838
